ID numero,Titolo,Anno,Volume numero,Luogo,Editore,Ultima pagina indicizzata,Slug,URL download numero,URL immagine copertina,Testo alternativo copertina,Stato WordPress,ID WordPress,URL pagina WordPress,In evidenza,Ordinamento,Stato dati,File sorgente,Note
ADS-1981-18,Almanacco della Sardegna 1981 La riforma dell’editoria,1981,18,Cagliari,Associazione Stampa Sarda,307,almanacco-della-sardegna-1981,,,Copertina dell’Almanacco della Sardegna 1981,Bozza,,,Sì,1981,Da completare: URL mancanti,1981-Almanacco-della-Sardegna(1).docx,"Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda, 1981."
ADS-1982-19,Almanacco della Sardegna 1982 Contratto dei giornalisti,1982,19,Cagliari,Associazione Stampa Sarda,145,almanacco-della-sardegna-1982,,,Copertina dell’Almanacco della Sardegna 1982,Bozza,,,Sì,1982,Da completare: URL mancanti,1982-Almanacco-della-Sardegna(1).docx,"Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda, 1982. A CURA DI Antonello De Candia in collaborazione con Umberto Aime"
ADS-1983-20,Almanacco della Sardegna. 1983 Il nuovo piano di sviluppo,1983,20,Cagliari,Associazione Stampa Sarda,183,almanacco-della-sardegna-1983,,,Copertina dell’Almanacco della Sardegna 1983,Bozza,,,Sì,1983,Da completare: URL mancanti,1983-Almanacco-della-Sardegna(1).docx,"Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda, finito di stampare nel 1984. A CURA DI Antonello De Candia, in collaborazione con Umberto Aime"
ADS-1984-21,Almanacco della Sardegna 1984. Elezioni regionali,1984,21,Cagliari,Associazione Stampa Sarda,228,almanacco-della-sardegna-1984,,,Copertina dell’Almanacco della Sardegna 1984,Bozza,,,Sì,1984,Da completare: URL mancanti,1984-Almanacco-della-Sardegna(1).docx,"Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda, 1985. A CURA DI Roberto Puddu"
ADS-1985-22,Almanacco della Sardegna 1985,1985,22,Cagliari,Associazione Stampa Sarda,176,almanacco-della-sardegna-1985,,,Copertina dell’Almanacco della Sardegna 1985,Bozza,,,Sì,1985,Da completare: URL mancanti,1985-Almanacco-della-Sardegna(1).docx,"Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda, 1985. A CURA DI Gianfranco Leccis"
ADS-1986-23,Almanacco della Sardegna 1986,1986,23,Cagliari,Associazione Stampa Sarda,200,almanacco-della-sardegna-1986,,,Copertina dell’Almanacco della Sardegna 1986,Bozza,,,Sì,1986,Da completare: URL mancanti,1986-Almanacco-della-Sardegna(1).docx,"Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda, 1986. A CURA DI Gianfranco Leccis"
ADS-1987-24,Almanacco della Sardegna 1987,1987,24,Cagliari,Associazione Stampa Sarda,237,almanacco-della-sardegna-1987,,,Copertina dell’Almanacco della Sardegna 1987,Bozza,,,Sì,1987,Da completare: URL mancanti,1987-Almanacco-della-Sardegna(1).docx,"Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda, 1987. A CURA DI Gianfranco Leccis"
ADS-1988-25,Almanacco della Sardegna 1988,1988,25,Cagliari,Associazione Stampa Sarda,240,almanacco-della-sardegna-1988,,,Copertina dell’Almanacco della Sardegna 1988,Bozza,,,Sì,1988,Da completare: URL mancanti,1988-Almanacco-della-Sardegna.docx,"Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda, 1988. A CURA DI Gianfranco Leccis"
ADS-1989-26,Almanacco della Sardegna 1989,1989,26,Cagliari,Associazione Stampa Sarda,400,almanacco-della-sardegna-1989,,,Copertina dell’Almanacco della Sardegna 1989,Bozza,,,Sì,1989,Da completare: URL mancanti,1989-Almanacco-della-Sardegna.docx,"Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda, 1989. A CURA DI Giovanni Marras e Valerio Vargiu"
ADS-1990-27,Almanacco della Sardegna 1990,1990,27,Cagliari,Associazione Stampa Sarda,226,almanacco-della-sardegna-1990,,,Copertina dell’Almanacco della Sardegna 1990,Bozza,,,Sì,1990,Da completare: URL mancanti,1990-Almanacco-della-Sardegna.docx,"Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda, 1990. A CURA DI Giovanni Marras e Valerio Vargiu"
ADS-1991-28,Almanacco della Sardegna 1991,1991,28,Cagliari,Associazione Stampa Sarda,197,almanacco-della-sardegna-1991,,,Copertina dell’Almanacco della Sardegna 1991,Bozza,,,Sì,1991,Da completare: URL mancanti,1991-Almanacco-della-Sardegna.docx,"Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda, 1991. A CURA DI Giovanni Marras e Paola di Francesco"
ADS-1992-29,Almanacco della Sardegna 1992,1992,29,Cagliari,Associazione Stampa Sarda,510,almanacco-della-sardegna-1992,,,Copertina dell’Almanacco della Sardegna 1992,Bozza,,,Sì,1992,Da completare: URL mancanti,1992-Almanacco-della-Sardegna.docx,"Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda, 1992. A CURA DEL Consiglio direttivo dell’Associazione della Stampa Sarda"
ADS-1993-30,Almanacco della Sardegna 1993,1993,30,Cagliari,Associazione Stampa Sarda,319,almanacco-della-sardegna-1993,,,Copertina dell’Almanacco della Sardegna 1993,Bozza,,,Sì,1993,Da completare: URL mancanti,1993-Almanacco-della-Sardegna.docx,"Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda, 1993. A CURA DEL Consiglio direttivo dell’Associazione della Stampa Sarda"
ADS-1994-31,Almanacco della Sardegna 1994,1994,31,Cagliari,Associazione Stampa Sarda,373,almanacco-della-sardegna-1994,,,Copertina dell’Almanacco della Sardegna 1994,Bozza,,,Sì,1994,Da completare: URL mancanti,1994-Almanacco-della-Sardegna.docx,"Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda, 1994 (finito di stampare nel marzo 1995). A CURA DEL Consiglio direttivo dell’Associazione della Stampa Sarda"
ADS-1995-32,Almanacco della Sardegna 1995,1995,32,Cagliari,Associazione Stampa Sarda,382,almanacco-della-sardegna-1995,,,Copertina dell’Almanacco della Sardegna 1995,Bozza,,,Sì,1995,Da completare: URL mancanti,1995-Almanacco-della-Sardegna.docx,"Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda, 1995. A CURA DEL Consiglio direttivo dell’Associazione Stampa Sarda"
ADS-1996-33,Almanacco della Sardegna 1996,1996,33,Cagliari,Associazione Stampa Sarda,385,almanacco-della-sardegna-1996,,,Copertina dell’Almanacco della Sardegna 1996,Bozza,,,Sì,1996,Da completare: URL mancanti,1996-Almanacco-della-Sardegna.docx,"Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda, 1996. A CURA DEL Consiglio direttivo dell’Associazione della Stampa Sarda"
ADS-1998-35,Almanacco della Sardegna 1998,1998,35,Cagliari,Associazione Stampa Sarda,317,almanacco-della-sardegna-1998,,,Copertina dell’Almanacco della Sardegna 1998,Bozza,,,Sì,1998,Da completare: URL mancanti,1998-Almanacco-della-Sardegna.docx,"Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda, 1998. A CURA DEL Consiglio direttivo dell’Associazione della Stampa Sarda"
ADS-1999-36,Almanacco della Sardegna 1999,1999,36,Cagliari,Associazione Stampa Sarda,271,almanacco-della-sardegna-1999,,,Copertina dell’Almanacco della Sardegna 1999,Bozza,,,Sì,1999,Da completare: URL mancanti,1999-Almanacco-della-Sardegna.docx,"Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda, 1999 (finito di stampare il 31 marzo 2000). A CURA DEL Consiglio direttivo dell’Associazione della Stampa Sarda"
ADS-2000-37,Almanacco della Sardegna 2000/2001,2000,37,Cagliari,Associazione Stampa Sarda,287,almanacco-della-sardegna-2000,,,Copertina dell’Almanacco della Sardegna 2000,Bozza,,,Sì,2000,Da completare: URL mancanti,2000-Almanacco-della-Sardegna.docx,"Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda, 2001. A CURA DEL Consiglio direttivo dell’Associazione della Stampa Sarda"
ADS-2002-39,Almanacco della Sardegna 2002,2002,39,Cagliari,Associazione Stampa Sarda,347,almanacco-della-sardegna-2002,,,Copertina dell’Almanacco della Sardegna 2002,Bozza,,,Sì,2002,Da completare: URL mancanti,2002-Almanacco-della-Sardegna.docx,"Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda, 2002. A CURA DEL Consiglio direttivo dell’Associazione della Stampa Sarda"
ADS-2003-40,Almanacco della Sardegna 2003,2003,40,Cagliari,Associazione Stampa Sarda,254,almanacco-della-sardegna-2003,,,Copertina dell’Almanacco della Sardegna 2003,Bozza,,,Sì,2003,Da completare: URL mancanti,2003-Almanacco-della-Sardegna.docx,"Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda, 2003. A CURA DEL Consiglio direttivo dell’Associazione Stampa Sarda"
ADS-2004-41,Almanacco della Sardegna 2004/2005,2004,41,Cagliari,Associazione Stampa Sarda,188,almanacco-della-sardegna-2004,,,Copertina dell’Almanacco della Sardegna 2004,Bozza,,,Sì,2004,Da completare: URL mancanti,2004-Almanacco-della-Sardegna.docx,"Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda, 2004. A CURA DEL Consiglio direttivo dell’Associazione della Stampa sarda"
ADS-2005-42,Almanacco della Sardegna 2005/2006,2005,42,Cagliari,Associazione della Stampa Sarda,205,almanacco-della-sardegna-2005,,,Copertina dell’Almanacco della Sardegna 2005,Bozza,,,Sì,2005,Da completare: URL mancanti,2005-Almanacco-della-Sardegna.docx,"Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione della Stampa Sarda, 2005. A CURA DEL Consiglio Direttivo dell’Associazione della Stampa Sarda"
ADS-2007-43,Almanacco della Sardegna 2007/2008,2007,43,Cagliari,Associazione Stampa Sarda,205,almanacco-della-sardegna-2007,,,Copertina dell’Almanacco della Sardegna 2007,Bozza,,,Sì,2007,Da completare: URL mancanti,2007-Almanacco-della-Sardegna.docx,"Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda, 2007. A CURA DEL Consiglio Direttivo dell’Associazione della Stampa Sarda"
ADS-2008-09-44,Almanacco della Sardegna 2008/2009,2008,44,Cagliari,Associazione Stampa Sarda,215,almanacco-della-sardegna-2008-09,,,Copertina dell’Almanacco della Sardegna 2008/09,Bozza,,,Sì,2008,Da completare: URL mancanti,2008.2009-Almanacco-della-Sardegna.docx,"Edizione 2008/09. Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda, 2008. A CURA DEL Consiglio Direttivo dell’Associazione della Stampa sarda"
ADS-2009-10-45,Almanacco della Sardegna 2009/2010,2009,45,Cagliari,Associazione Stampa Sarda,201,almanacco-della-sardegna-2009-10,,,Copertina dell’Almanacco della Sardegna 2009/10,Bozza,,,Sì,2009,Da completare: URL mancanti,2009.2010-Almanacco-della-Sardegna.docx,"Edizione 2009/10. Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda, 2009. A CURA DEL Consiglio Direttivo dell’Associazione della Stampa sarda"
ADS-2011-46,Almanacco della Sardegna 2011,2011,46,Cagliari,Associazione Stampa Sarda,263,almanacco-della-sardegna-2011,,,Copertina dell’Almanacco della Sardegna 2011,Bozza,,,Sì,2011,Da completare: URL mancanti,2011-Almanacco-della-Sardegna.docx,"Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda, 2011. A CURA DEL Consiglio direttivo dell’Associazione della Stampa Sarda"
